name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Michigan USA,2025-01-23,-5.6,-10.5,-7.5,-11.4,-16.4,-13.7,-10.8,77.6,1.42,100,20.83,snow,0,0.9,37.1,22.3,245.9,1019.4,90.1,9.4,50.1,4.2,3,10,2025-01-23T08:00:42,2025-01-23T17:40:11,0.81,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"MIHTC,KY70,KFPK,KLAN"
Michigan USA,2025-01-24,-6.6,-12.7,-10.3,-11.6,-17,-13.4,-13,80.5,0,16,0,,0,1,25.9,11.2,230.2,1023.4,65.8,16.2,75.3,6.6,3,10,2025-01-24T07:59:54,2025-01-24T17:41:28,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-01-25,-1.1,-10.5,-5,-6.8,-16.8,-11.2,-8,79.5,0,18,0,,0,2.9,40.7,20.5,227.1,1017.7,78.5,16.3,74.9,6.6,3,10,2025-01-25T07:59:04,2025-01-25T17:42:46,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-01-26,-3.3,-7,-5.5,-9,-14.3,-11.7,-8.9,77.4,0.4,2,8.33,snow,0.3,4.9,43.2,21.2,258.8,1024.2,57.9,17.6,110.9,9.6,4,10,2025-01-26T07:58:12,2025-01-26T17:44:04,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-01-27,-0.6,-6.9,-3.2,-7,-14.5,-10.2,-7.5,72.4,0.1,24,4.17,"rain,snow",0,3.7,53.6,28.8,244.1,1010.7,48.5,24.1,118.8,10.3,4,10,2025-01-27T07:57:18,2025-01-27T17:45:23,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-01-28,-1.9,-4.7,-3,-7.7,-10.4,-8.8,-6.6,76.1,0.9,27,4.17,"rain,snow",0.5,2.4,41.4,21.2,266,1004.8,68.9,16,58.9,5.2,2,10,2025-01-28T07:56:22,2025-01-28T17:46:42,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-01-29,-3.2,-5.6,-4.7,-8.7,-11.3,-10.2,-7.4,81.1,0.4,17,8.33,snow,0.2,3.2,34.6,17.3,271.2,1024,58.8,20.9,125.5,10.7,4,10,2025-01-29T07:55:24,2025-01-29T17:48:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-01-30,-3.1,-7.1,-5.2,-8.4,-12.7,-10.6,-8.3,79.2,0,22,0,,0,2.8,32.4,16.6,260.3,1038.5,39,24.1,133.3,11.5,4,10,2025-01-30T07:54:25,2025-01-30T17:49:20,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-01-31,-3.8,-7.2,-5.8,-9.7,-14,-11.6,-10.7,69.1,1.2,17,12.5,snow,0.2,2.4,54,19.8,159.9,1036.6,69.3,24.1,114,9.7,5,10,2025-01-31T07:53:23,2025-01-31T17:50:40,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-02-01,1.4,-4.2,-0.1,-2,-10.2,-4.7,-0.8,95,0.2,16.1,8.33,"rain,snow",0.1,1.9,50.8,18,159.9,1019.4,100,12.3,8.3,0.7,0,10,2025-02-01T07:52:20,2025-02-01T17:51:59,0.11,Overcast,Cloudy skies throughout the day.,cloudy,
Michigan USA,2025-02-02,2.2,0.2,1.2,-1.4,-5.9,-3.3,-0.1,91.3,1.9,22.6,16.67,"rain,snow",0.3,1,49.3,30.6,233.8,1007,100,11.7,13.6,0.9,0,10,2025-02-02T07:51:15,2025-02-02T17:53:19,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
Michigan USA,2025-02-03,-0.2,-3,-1.7,-5.1,-9.5,-7.4,-4.9,79.4,0,19.4,0,,0,0.8,56.5,27.7,267.8,1019,92.3,18.4,97.5,8.4,4,10,2025-02-03T07:50:09,2025-02-03T17:54:39,0.18,Overcast,Cloudy skies throughout the day.,cloudy,
Michigan USA,2025-02-04,-3.3,-6.2,-4.8,-9.3,-13.4,-11.8,-9.3,71.3,3.4,35.5,8.33,snow,2.2,0.7,43.9,28.8,62.3,1029.3,100,21,76.3,6.6,3,10,2025-02-04T07:49:00,2025-02-04T17:55:58,0.22,Overcast,Cloudy skies throughout the day.,cloudy,
Michigan USA,2025-02-05,-1.4,-6.3,-4.4,-4.5,-12.7,-8.4,-6.4,86.6,0,35.5,0,,0,2.3,32.8,17.3,47,1032.3,79.9,16.8,121.6,10.5,5,10,2025-02-05T07:47:50,2025-02-05T17:57:18,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Michigan USA,2025-02-06,0.2,-4.5,-1.9,-2.8,-9.1,-5.9,-2.6,95.2,0.2,12.9,4.17,snow,0.1,2.9,34.9,14.4,152.2,1023.3,99.2,12.8,15.1,1.3,1,10,2025-02-06T07:46:39,2025-02-06T17:58:38,0.29,Overcast,Cloudy skies throughout the day.,cloudy,
